,SNo,date,dayResult,dayConfidence,latitude,longitude,dateUnixTimestamp
89292,0,2022-07-20,1,0.7359351,46.81142075830805,-122.3465301087634,1658275200000
89293,1,2022-07-20,1,0.7359351,46.81142075830805,-122.33384061081958,1658275200000
89848,2,2022-07-20,1,0.7359351,46.79873126036424,-122.3465301087634,1658275200000
89849,3,2022-07-20,1,0.7359351,46.79873126036424,-122.33384061081958,1658275200000
89850,4,2022-07-20,1,0.7359351,46.79873126036424,-122.32115111287575,1658275200000
90404,5,2022-07-20,1,0.7359351,46.78604176242042,-122.3465301087634,1658275200000
90405,6,2022-07-20,1,0.7359351,46.78604176242042,-122.33384061081958,1658275200000
90406,7,2022-07-20,1,0.7359351,46.78604176242042,-122.32115111287575,1658275200000
90407,8,2022-07-20,1,0.7359351,46.78604176242042,-122.30846161493194,1658275200000
90408,9,2022-07-20,1,0.7359351,46.78604176242042,-122.29577211698812,1658275200000
90960,10,2022-07-20,1,0.7359351,46.7733522644766,-122.3465301087634,1658275200000
90961,11,2022-07-20,1,0.7359351,46.7733522644766,-122.33384061081958,1658275200000
90962,12,2022-07-20,1,0.7359351,46.7733522644766,-122.32115111287575,1658275200000
90963,13,2022-07-20,1,0.7359351,46.7733522644766,-122.30846161493194,1658275200000
90964,14,2022-07-20,1,0.7359351,46.7733522644766,-122.29577211698812,1658275200000
90965,15,2022-07-20,1,0.7359351,46.7733522644766,-122.28308261904432,1658275200000
91516,16,2022-07-20,1,0.7359351,46.76066276653278,-122.3465301087634,1658275200000
91517,17,2022-07-20,1,0.7359351,46.76066276653278,-122.33384061081958,1658275200000
91518,18,2022-07-20,1,0.7359351,46.76066276653278,-122.32115111287575,1658275200000
91519,19,2022-07-20,1,0.7359351,46.76066276653278,-122.30846161493194,1658275200000
91520,20,2022-07-20,1,0.7359351,46.76066276653278,-122.29577211698812,1658275200000
91521,21,2022-07-20,1,0.7359351,46.76066276653278,-122.28308261904432,1658275200000
91522,22,2022-07-20,1,0.7359351,46.76066276653278,-122.2703931211005,1658275200000
92071,23,2022-07-20,1,0.7359351,46.74797326858896,-122.3465301087634,1658275200000
92072,24,2022-07-20,1,0.7359351,46.74797326858896,-122.33384061081958,1658275200000
92073,25,2022-07-20,1,0.7359351,46.74797326858896,-122.32115111287575,1658275200000
92074,26,2022-07-20,1,0.7359351,46.74797326858896,-122.30846161493194,1658275200000
92075,27,2022-07-20,1,0.7359351,46.74797326858896,-122.29577211698812,1658275200000
92076,28,2022-07-20,1,0.7359351,46.74797326858896,-122.28308261904432,1658275200000
92077,29,2022-07-20,1,0.7359351,46.74797326858896,-122.2703931211005,1658275200000
92078,30,2022-07-20,1,0.7359351,46.74797326858896,-122.25770362315669,1658275200000
92627,31,2022-07-20,1,0.7359351,46.73528377064515,-122.3465301087634,1658275200000
92628,32,2022-07-20,1,0.7359351,46.73528377064515,-122.33384061081958,1658275200000
92629,33,2022-07-20,1,0.7359351,46.73528377064515,-122.32115111287575,1658275200000
92630,34,2022-07-20,1,0.7359351,46.73528377064515,-122.30846161493194,1658275200000
92631,35,2022-07-20,1,0.7359351,46.73528377064515,-122.29577211698812,1658275200000
92632,36,2022-07-20,1,0.7359351,46.73528377064515,-122.28308261904432,1658275200000
92633,37,2022-07-20,1,0.7359351,46.73528377064515,-122.2703931211005,1658275200000
92634,38,2022-07-20,1,0.7359351,46.73528377064515,-122.25770362315669,1658275200000
92635,39,2022-07-20,1,0.7359351,46.73528377064515,-122.24501412521286,1658275200000
93182,40,2022-07-20,1,0.7359351,46.72259427270133,-122.3465301087634,1658275200000
93183,41,2022-07-20,1,0.7359351,46.72259427270133,-122.33384061081958,1658275200000
93184,42,2022-07-20,1,0.7359351,46.72259427270133,-122.32115111287575,1658275200000
93185,43,2022-07-20,1,0.7359351,46.72259427270133,-122.30846161493194,1658275200000
93186,44,2022-07-20,1,0.7359351,46.72259427270133,-122.29577211698812,1658275200000
93187,45,2022-07-20,1,0.7359351,46.72259427270133,-122.28308261904432,1658275200000
93188,46,2022-07-20,1,0.7359351,46.72259427270133,-122.2703931211005,1658275200000
93189,47,2022-07-20,1,0.7359351,46.72259427270133,-122.25770362315669,1658275200000
93190,48,2022-07-20,1,0.7359351,46.72259427270133,-122.24501412521286,1658275200000
93191,49,2022-07-20,1,0.7359351,46.72259427270133,-122.23232462726904,1658275200000
93192,50,2022-07-20,1,0.7359351,46.72259427270133,-122.21963512932524,1658275200000
93736,51,2022-07-20,1,0.7359351,46.70990477475751,-122.3465301087634,1658275200000
93737,52,2022-07-20,1,0.7359351,46.70990477475751,-122.33384061081958,1658275200000
93738,53,2022-07-20,1,0.7359351,46.70990477475751,-122.32115111287575,1658275200000
